run,metric,mean_delta,std_delta,effect_size,signed_effect_size,expected_sign,sign_consistency,sign_flip_p_value,expected_direction,ci_high,ci_low,n_bootstrap,n_pairs,sign_flip_q_value,significant_after_fdr_0.05,significant_after_fdr_0_05
run-01,lsd_vs_placebo_receptor_transition_energy_reduction_pct,5.994784009465453,13.547430671121099,0.4425033908639566,0.4425033908639566,1,0.7333333333333333,0.059234619140625,positive means LSD within-condition transitions need less receptor-profile control energy than placebo,11.720397794345,-0.695054185747,1024,15,0.138214111328125,False,False
run-01,lsd_vs_placebo_uniform_transition_energy_reduction_pct,8.266986809684616,10.094756148582604,0.8189387329425858,0.8189387329425858,1,0.8666666666666667,0.003692626953125,positive means LSD within-condition transitions need less uniform-control energy than placebo,13.10439917503,3.2345788302,1024,15,0.025848388671875,True,True
run-01,receptor_vs_uniform_energy_reduction_pct,-31.307887169823978,22.893708007884104,-1.367532387459568,-1.367532387459568,1,0.0,1.0,positive means receptor-prior control needs less energy than uniform control,-20.563271825717,-42.249161618086,1024,15,1.0,False,False
run-01,receptor_vs_random_energy_reduction_pct,-13.4668316693983,18.807123584463337,-0.7160495122456323,-0.7160495122456323,1,0.3333333333333333,0.940765380859375,positive means receptor-prior control needs less energy than random receptor-prior permutations,-4.011004394208,-22.900032064057,1024,15,1.0,False,False
run-01,hierarchy_vs_uniform_energy_reduction_pct,-288.2207163542973,121.52982228619409,-2.3716048532973084,-2.3716048532973084,1,0.0,1.0,positive means hierarchy-prior control needs less energy than uniform control,-230.048108712361,-346.457664996521,1024,15,1.0,False,False
run-01,transmodal_vs_uniform_energy_reduction_pct,-632.2194847681008,331.4870898791148,-1.9072220429418703,-1.9072220429418703,1,0.0,1.0,positive means transmodal-prior control needs less energy than uniform control,-489.086253250732,-809.431195842341,1024,15,1.0,False,False
run-01,state_target_alignment_receptor,0.22314577777490138,0.24266930060885972,0.9195467956392769,0.9195467956392769,1,0.8,0.017578125,positive means modules with higher receptor prior align with larger LSD-minus-placebo state displacement,0.339519748504,0.100788775245,1024,15,0.0615234375,False,False
run-03,lsd_vs_placebo_receptor_transition_energy_reduction_pct,3.4096130036016157,11.715544821987436,0.29103324304666917,0.29103324304666917,1,0.5333333333333333,0.5,positive means LSD within-condition transitions need less receptor-profile control energy than placebo,9.350363349597,-1.993886676108,1024,15,1.0,False,False
run-03,lsd_vs_placebo_uniform_transition_energy_reduction_pct,5.604798695404441,9.181065591640412,0.6104736579278717,0.6104736579278717,1,0.6666666666666666,0.15087890625,positive means LSD within-condition transitions need less uniform-control energy than placebo,10.454137703011,1.221427054073,1024,15,1.0,False,False
run-03,receptor_vs_uniform_energy_reduction_pct,-37.46608977185683,24.657258052183384,-1.5194751051623614,-1.5194751051623614,1,0.0,1.0,positive means receptor-prior control needs less energy than uniform control,-25.80654626616,-49.444697156381,1024,15,1.0,False,False
run-03,receptor_vs_random_energy_reduction_pct,-17.401691091883503,18.72505179865418,-0.9293267265158758,-0.9293267265158758,1,0.2,0.996307373046875,positive means receptor-prior control needs less energy than random receptor-prior permutations,-8.693571713234,-27.588056497176,1024,15,1.0,False,False
run-03,hierarchy_vs_uniform_energy_reduction_pct,-312.71840974214956,142.6679621771589,-2.1919315659238854,-2.1919315659238854,1,0.0,1.0,positive means hierarchy-prior control needs less energy than uniform control,-248.57692765739,-383.295530708925,1024,15,1.0,False,False
run-03,transmodal_vs_uniform_energy_reduction_pct,-716.4124771796291,337.3913581546689,-2.1233871581595376,-2.1233871581595376,1,0.0,1.0,positive means transmodal-prior control needs less energy than uniform control,-562.576294125898,-901.84862205217,1024,15,1.0,False,False
run-03,state_target_alignment_receptor,0.04286052360953633,0.306858945929161,0.1396750010978359,0.1396750010978359,1,0.6,0.303619384765625,positive means modules with higher receptor prior align with larger LSD-minus-placebo state displacement,0.192433861006,-0.109790873289,1024,15,1.0,False,False
